index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
172,Puerto Rico,1.08113,0.46823,0.22202,15,7.039,2016,RQ,38,79.5,65.5,42.6,18.8,3.9,0.2,1.24,0.6022,1.059,30.5
173,Germany,1.09774,0.53466,0.30452,16,6.994,2016,GM,8.1,43.6,86,95.2,47.2,9,0.4,1.443,0.7023,1.0547,33.9166666666667
174,Brazil,1.03938,0.40425,0.15776,17,6.952,2016,BR,24,76.3,115.3,88,35.2,11.8,1.9,1.762,0.8595,1.05,39.5333333333333
175,Belgium,1.05249,0.51354,0.2424,18,6.929,2016,BE,9,54.5,124.1,113.3,47.2,8.7,0.4,1.7814,0.8694,1.049,38.85
176,Ireland,1.16157,0.54008,0.44963,19,6.907,2016,EI,17.6,51.5,85.5,129.4,93.8,17.4,1,1.9814,0.9632,1.057,51.7833333333333
177,Luxembourg,1.03999,0.5487,0.27571,20,6.871,2016,LU,5.3,33.8,88.7,113.2,67.1,14.6,0.7,1.6139,0.7843,1.0578,39.1166666666667
178,Mexico,0.7146,0.37709,0.11735,21,6.778,2016,MX,54.4,120.9,121.8,91.4,45.9,14.4,2.2,2.2547,1.0999,1.05,54.8666666666667
179,Singapore,0.86758,0.4877,0.32706,22,6.739,2016,SN,3.4,11.6,39.8,66.5,36.6,5.9,0.3,0.8205,0.3958,1.0729,20.7166666666667
180,United Kingdom,1.08672,0.50036,0.50156,23,6.725,2016,UK,24.6,70.5,102.6,111.3,56.8,10.8,0.6,1.886,0.9191,1.0519,45.7666666666667
181,Chile,0.90587,0.37789,0.31595,24,6.705,2016,CI,32.1,74.4,106.9,90.8,43.4,12.9,1.4,1.81,0.8862,1.0425,42.5
182,Panama,0.98912,0.48927,0.2418,25,6.701,2016,PM,75.7,128.5,114.7,87.4,43.7,12.8,2.2,2.326,1.1375,1.0449,58.3833333333333
183,Argentina,1.06612,0.42284,0.10989,26,6.65,2016,AR,64.7,108.2,107.4,96.3,58.9,17.7,1.4,2.282,1.1045,1.066,57.8666666666667
185,United Arab Emirates,0.87114,0.56215,0.26591,28,6.573,2016,AE,20.2,75.8,85.5,72.8,52.4,28.1,11.3,1.7303,0.8401,1.0597,43.4333333333333
186,Uruguay,1.03143,0.54388,0.18056,29,6.545,2016,UY,18.7,71.2,120,96.6,40.1,13.4,1.9,1.81,0.8888,1.0365,40.3166666666667
187,Malta,1.09879,0.54994,0.56237,30,6.488,2016,MT,11.2,36.5,86.5,103.4,45.2,8.7,0.3,1.4611,0.7153,1.0427,34.2166666666667
188,Colombia,1.02169,0.44735,0.15626,31,6.481,2016,CO,47.1,95,117.1,87.2,41.7,13.9,2,2.02,0.9806,1.06,47.8166666666667
189,France,1.00508,0.46562,0.1216,32,6.478,2016,FR,9.3,60.4,134.1,132.1,62.9,14.8,1,2.0738,1.0127,1.0478,46.75
190,Thailand,1.04477,0.49553,0.58696,33,6.474,2016,TH,50.9,107.2,77,37.9,18.9,6.5,4.4,1.5139,0.7372,1.0535,37.6333333333333
191,Saudi Arabia,0.84829,0.37904,0.15457,34,6.379,2016,SA,2.7,35.7,100.9,107,95.9,55.8,32.2,2.1513,1.0494,1.05,54.8833333333333
192,Taiwan,0.92624,0.32377,0.25495,34,6.379,2016,TW,5,28.8,68.9,81.4,35.1,5,0,1.1211,0.5423,1.0674,25.8833333333333
193,Qatar,0.87964,0.56679,0.32388,36,6.375,2016,QA,12.3,82.7,104.6,90.2,60.8,25.7,4.2,1.9023,0.9398,1.0241,45.9833333333333
194,Spain,1.12945,0.37545,0.17665,37,6.361,2016,SP,13.4,41.1,72.4,100.6,58.5,11.5,0.8,1.4919,0.7225,1.065,37.65
195,Algeria,0.83309,0.21006,0.07044,38,6.355,2016,AG,16.4,100,159.3,142,85.2,38.6,7.2,2.7439,1.3369,1.0524,64.9
196,Guatemala,0.87119,0.50379,0.28808,39,6.324,2016,GT,86.6,162.4,145.7,114.6,66.6,26,2.9,3.024,1.4751,1.05,76.5166666666667
197,Suriname,0.77866,0.52234,0.16665,40,6.269,2016,NS,30,81.4,122.5,96.9,42.6,13.5,1.6,1.948,0.9503,1.05,44.3333333333333
198,Kuwait,0.87758,0.43166,0.15965,41,6.239,2016,KU,14.4,103.2,148.7,119.4,73.8,24.6,4.3,2.4419,1.1931,1.0466,56.6166666666667
199,Bahrain,0.94397,0.47375,0.17147,42,6.218,2016,BA,13.3,77,114.9,86.9,42.7,16.2,2.2,1.7656,0.8708,1.0276,39.7166666666667
200,Trinidad and Tobago,0.98569,0.48453,0.31935,43,6.168,2016,TD,10.4,63.7,118.2,96.1,38.1,13,2.1,1.708,0.8422,1.0281,37.2333333333333
201,Venezuela,1.03302,0.19847,0.0425,44,6.084,2016,VE,83.4,119.1,112.5,88.2,47.3,16.7,2.9,2.35,1.1463,1.05,59.6
202,Slovakia,1.08268,0.23391,0.13837,45,6.078,2016,LO,20.4,51,91.2,79.5,31.9,5.8,1,1.4028,0.6786,1.0672,31.6
203,El Salvador,0.80975,0.37269,0.08877,46,6.068,2016,ES,28.8,79.9,118,92.9,40.8,15.1,2,1.888,0.921,1.05,43.25
204,Malaysia,0.88025,0.39031,0.41474,47,6.005,2016,MY,12.8,93.9,164.1,137.5,70.6,23.5,2.8,2.526,1.2206,1.0694,56.85
205,Nicaragua,0.89521,0.46582,0.29773,48,5.992,2016,NU,30.7,81.6,120.2,93.8,41.7,13.2,2,1.916,0.9346,1.05,43.8333333333333
206,Uzbekistan,1.1681,0.60848,0.34326,49,5.987,2016,UZ,9.9,77,122.3,95.9,37.4,10.8,4.9,1.776,0.8621,1.06,39.3166666666667
207,Italy,1.04167,0.18827,0.16684,50,5.977,2016,IT,7.1,35.6,74.8,96.4,58.9,12.7,0.7,1.4338,0.6964,1.059,35.2333333333333
208,Ecuador,0.85974,0.4027,0.10074,51,5.976,2016,EC,39.4,102,126.2,101,50.9,20.1,4,2.218,1.082,1.05,52.9
209,Belize,0.68655,0.51231,0.23684,52,5.956,2016,BH,52.5,136,165.4,129.5,67.7,25.9,3,2.9,1.4146,1.05,69.1
210,Japan,1.06054,0.46761,0.10224,53,5.921,2016,JA,6.1,42.5,94.4,92.7,38.8,6.9,0.4,1.4093,0.6855,1.056,31.2333333333333
211,Kazakhstan,0.95544,0.4052,0.15011,54,5.919,2016,KZ,23.8,122.6,139.9,103.7,50.7,14.4,0.9,2.28,1.1772,0.9368,52.6833333333333
212,Moldova,0.83132,0.25202,0.19997,55,5.897,2016,MD,27.6,94.2,98.6,60.9,25.4,5.5,0.5,1.5635,0.7575,1.064,35.6833333333333
213,Russia,1.05261,0.32682,0.02736,56,5.856,2016,RS,26.4,84.4,101.4,71,30.4,6.9,0.6,1.6053,0.7793,1.06,36.6166666666667
214,Poland,1.04685,0.4519,0.14443,57,5.835,2016,PL,13.5,53.9,91.3,71.9,30.5,6.7,0.8,1.338,0.6497,1.0594,29.55
216,Bolivia,0.83779,0.50961,0.21698,59,5.822,2016,BL,43.9,118,145.9,118.4,72.8,30.4,6.6,2.68,1.3073,1.05,65.0166666666667
217,Lithuania,1.06411,0.18929,0.02025,60,5.813,2016,LH,15.7,61.1,109.7,89,36.9,7.1,0.6,1.5899,0.7729,1.057,35.0666666666667
218,Belarus,1.04993,0.29091,0.13942,61,5.802,2016,BO,19.3,83.5,98.4,64.2,24.6,5,0.4,1.4769,0.7169,1.06,32.8333333333333
220,Slovenia,1.05613,0.53164,0.25738,63,5.768,2016,SI,4.2,40.3,109.8,106.8,44.8,9.1,0.5,1.5726,0.7713,1.0388,34.2833333333333
221,Peru,0.81255,0.37502,0.14527,64,5.743,2016,PE,35.8,95.6,119.6,101.8,54.8,19.3,3.6,2.152,1.0519,1.0458,51.8166666666667
222,Turkmenistan,1.03817,0.37408,0.22567,65,5.658,2016,TX,15.4,99.9,142.6,100.9,41.4,13.9,2,2.08,1.0146,1.05,45.5833333333333
223,Mauritius,0.75695,0.46145,0.36951,66,5.648,2016,MP,14.6,73,119.1,92.9,37.3,12.2,1.8,1.754,0.8556,1.05,38.6333333333333
224,Libya,0.95076,0.40672,0.17087,67,5.615,2016,LY,8.6,60.2,121.4,114.9,68.6,30.3,4.8,2.044,0.9971,1.05,47.9
225,Latvia,0.95025,0.27996,0.17445,68,5.56,2016,LG,13.9,54.3,92.4,85.4,45.2,10.9,0.6,1.5085,0.7358,1.05,35.05
226,Cyprus,0.70697,0.29507,0.27906,69,5.546,2016,CY,8.9,50.7,105.8,86,33.9,6.9,0.7,1.465,0.7146,1.0501,31.1833333333333
227,Paraguay,1.11111,0.46235,0.25296,70,5.538,2016,PA,18.3,74.6,126.1,101,41.5,16.2,3.7,1.9069,0.9302,1.05,42.55
228,Romania,0.72803,0.36712,0.12889,71,5.528,2016,RO,28,67,84.5,58.8,22.5,5.2,1.3,1.3386,0.6498,1.06,30.4666666666667
229,Estonia,1.05163,0.41511,0.08423,72,5.517,2016,EN,14.6,58.7,99.9,88.7,46.3,11.4,1,1.5957,0.7792,1.0479,36.7833333333333
230,Jamaica,0.96372,0.43597,0.22245,73,5.51,2016,JM,57.3,96.9,118,77.1,54.6,15.4,2.8,2.11,1.0293,1.05,50.6833333333333
231,Croatia,0.60809,0.23907,0.18434,74,5.488,2016,HR,10.2,45.7,89.8,84.3,38.1,8.2,0.6,1.3875,0.673,1.0616,31.1833333333333
232,Hong Kong,0.87021,0.48079,0.40097,75,5.458,2016,HK,3.1,26.2,62.6,85.2,51,8.6,0.4,1.1853,0.5632,1.1044,29.0833333333333
233,Somalia,0.33613,0.56778,0.27225,76,5.44,2016,SO,75.7,241.9,277.7,243,194.3,96.6,49.7,5.894,2.9035,1.03,150.2
234,Kosovo,0.66062,0.14396,0.27992,77,5.401,2016,KV,10.4,81.8,142,115.4,46.8,13.1,1.7,2.0562,0.9876,1.0821,44.8666666666667
235,Turkey,0.87717,0.23889,0.04707,78,5.389,2016,TU,25.6,99.9,127.8,96.3,43.7,11.4,1.6,2.032,0.9912,1.05,46.4166666666667
236,Indonesia,0.87625,0.39237,0.56521,79,5.314,2016,ID,30.4,94.4,130.2,100.7,49,17.3,3.6,2.128,1.038,1.05,49.2333333333333
237,Jordan,0.86216,0.36023,0.14262,80,5.303,2016,JO,23.5,125.3,191.8,164.2,98,30.6,2.9,3.1813,1.5443,1.06,74.0833333333333
238,Azerbaijan,0.76042,0.35327,0.0564,81,5.291,2016,AJ,36.5,133,116,62.6,24.4,6.5,0.9,1.8999,0.9041,1.1015,43.9833333333333
239,Philippines,0.87877,0.54854,0.21674,82,5.279,2016,RP,49.5,144.9,158.7,129.7,80.8,40.6,6.9,3.056,1.4907,1.05,75.4
240,China,0.79381,0.44012,0.04959,83,5.245,2016,CH,9,60.2,111.3,89.5,35,10.5,5.1,1.6,0.7479,1.1394,34.8833333333333
241,Bhutan,0.90836,0.46074,0.48546,84,5.196,2016,BT,16.2,81.9,126.6,97.2,42.8,17.5,3.8,1.93,0.9415,1.05,43.2333333333333
242,Kyrgyzstan,0.95434,0.40212,0.38432,85,5.185,2016,KG,26.4,154.3,152.6,112.7,59.7,18.7,2.8,2.636,1.2753,1.067,62.4333333333333
243,Serbia,0.81329,0.15718,0.20737,86,5.177,2016,RI,23.1,78.2,92.4,64.2,24.3,3.9,0.3,1.4342,0.6945,1.065,32.3333333333333
244,Bosnia and Herzegovina,0.64367,0.09511,0.29889,87,5.163,2016,BK,14.9,64.2,90,61.5,21.6,4.8,1,1.2845,0.6199,1.072,28
245,Montenegro,0.74173,0.15111,0.17191,88,5.161,2016,MJ,10,65,122.4,105.7,51.6,11,0.8,1.8351,0.9017,1.0352,40.6833333333333
246,Dominican Republic,0.99496,0.52259,0.21286,89,5.155,2016,DR,73.2,132.5,121.2,83.4,39.6,11.4,1.2,2.312,1.1333,1.04,56.8833333333333
247,Morocco,0.38595,0.25646,0.04053,90,5.151,2016,MO,21.2,83.2,126.6,109.6,57.2,22.5,3.3,2.118,1.0332,1.05,49.5
248,Hungary,0.93164,0.1977,0.099,91,5.145,2016,HU,18,53.4,93.4,82.6,32.7,6.6,0.2,1.4375,0.6988,1.057,32.25
249,Pakistan,0.26135,0.14622,0.31185,92,5.132,2016,PK,31.2,113.8,163,129.4,64.7,26.9,7.8,2.684,1.3093,1.05,62.3
250,Lebanon,0.64184,0.26228,0.23693,93,5.129,2016,LE,10.8,64.9,118.7,96.3,38.9,13.4,2.2,1.726,0.8419,1.05,37.75
251,Portugal,0.94367,0.44727,0.11691,94,5.123,2016,PO,16.2,45.3,82.4,85.9,36.3,4.1,0.2,1.3625,0.6621,1.0579,31.3333333333333
252,Macedonia,0.78236,0.27668,0.23507,95,5.121,2016,MK,14.3,62.9,100.2,79.8,31.3,5.4,0.5,1.4738,0.7134,1.0659,32.3666666666667
253,Vietnam,0.79117,0.55954,0.25075,96,5.061,2016,VM,18.3,80.5,126.9,90.3,34.5,11.4,1.7,1.818,0.8637,1.105,39.45
255,Tunisia,0.43165,0.23553,0.03936,98,5.045,2016,TS,8.2,60.7,140.5,129.8,90.1,25.7,2.2,2.2867,1.1079,1.064,52.7833333333333
256,Greece,0.75473,0.05822,0,99,5.033,2016,GR,10.4,55.5,98.4,79.8,30.8,7,2.2,1.4234,0.6896,1.064,30.95
257,Tajikistan,0.75602,0.43408,0.25998,100,4.996,2016,TI,31.2,154.6,158.1,119,52.8,15.9,2.4,2.67,1.3024,1.05,62.65
258,Mongolia,1.08983,0.35972,0.34539,101,4.907,2016,MG,16.5,113,129,92.7,55.9,16.6,2.3,2.13,1.039,1.05,49.5
259,Laos,0.5497,0.52168,0.43079,102,4.876,2016,LA,46.6,121.1,164.1,131.6,64.8,23,1.3,2.762,1.3539,1.04,64.7333333333333
260,Nigeria,0.64498,0.27854,0.23219,103,4.875,2016,NI,105.8,208.8,251,209.3,139.5,63,19.4,4.984,2.4194,1.06,124.3
261,Honduras,0.75596,0.26755,0.2044,104,4.871,2016,HO,49.7,119.7,146.9,119,70.8,33.5,5.2,2.724,1.3288,1.05,66.3166666666667
262,Iran,0.38857,0.22544,0.38538,105,4.813,2016,IR,34.2,93.8,109.6,91.2,51.2,13.5,1.2,1.9737,0.9628,1.05,47.5166666666667
263,Zambia,0.6376,0.42662,0.17866,106,4.795,2016,ZA,115.8,261.9,259.6,222.1,169.3,82.7,23.4,5.674,2.7951,1.03,145.866666666667
264,Nepal,0.69699,0.37012,0.3816,107,4.793,2016,NP,42.9,112.8,127.7,90.4,41.8,16.5,3,2.176,1.0563,1.06,51.2333333333333
266,Albania,0.50163,0.31866,0.1684,109,4.655,2016,AL,10.9,74.2,105.4,72.2,30.4,7.2,1,1.5065,0.7187,1.096,32.65
267,Bangladesh,0.24749,0.39778,0.19132,110,4.643,2016,BG,50.3,99.4,129.1,97.7,43.1,16.1,2.3,2.19,1.0735,1.04,51.4833333333333
268,Sierra Leone,0.628,0.30685,0.23897,111,4.635,2016,SL,132,205.5,206.5,177.3,133.9,65,32.5,4.764,2.3468,1.03,124.366666666667
269,Iraq,0.59205,0.24856,0.19589,112,4.575,2016,IZ,69.4,190.7,216.1,174.2,113.9,41.6,6.1,4.06,1.9805,1.05,99.3166666666667
270,Namibia,0.70362,0.48614,0.07795,113,4.574,2016,WA,71.4,152.5,160.6,141.2,99.4,37.7,8.8,3.3575,1.6539,1.03,85.1666666666667
271,Cameroon,0.62542,0.42736,0.2268,114,4.513,2016,CM,110,210.8,228.8,188,126.4,61.2,14.7,4.7,2.3153,1.03,118.516666666667
272,Ethiopia,0.37932,0.36703,0.29522,115,4.508,2016,ET,93.9,209.5,239.8,204.2,152.2,89.3,25.2,5.07,2.4975,1.03,129.05
273,South Africa,0.96053,0.42483,0.13656,116,4.459,2016,SF,42,103.8,120.9,101.8,61.3,25.4,6.4,2.308,1.1426,1.02,56.7833333333333
274,Sri Lanka,0.84783,0.50817,0.46978,117,4.415,2016,CE,16.2,87.5,137.1,108.4,49.7,15.9,2.4,2.0858,1.0224,1.04,46.6833333333333
275,India,0.29247,0.40285,0.25028,118,4.404,2016,IN,34.5,163.8,152.7,84.3,36.4,14.4,4.8,2.454,1.1586,1.118,56.3666666666667
277,Egypt,0.49813,0.18847,0.12706,120,4.362,2016,EG,59.1,212.3,207.9,137.1,69.2,17.9,3.2,3.533,1.7115,1.0643,83.1333333333333
278,Armenia,0.62477,0.14037,0.07793,121,4.36,2016,AM,24,122.7,100.2,53.3,20.6,6.6,0.5,1.6396,0.772,1.1237,37.95
279,Kenya,0.7624,0.40576,0.41328,122,4.356,2016,KE,55.3,143.1,171.7,140.9,76.7,32.4,8.2,3.1413,1.5551,1.02,76.1
280,Ukraine,1.01413,0.12859,0.20363,123,4.324,2016,UP,29.3,94.7,92.8,60.2,26,4.7,0.2,1.5396,0.7459,1.064,35.85
281,Ghana,0.49353,0.40973,0.21203,124,4.276,2016,GH,67,161.9,198.8,176.2,117.1,71.1,13.3,4.0267,1.9836,1.03,101.1
282,Congo (Kinshasa),0.80676,0.15602,0.25458,125,4.272,2016,CG,77.8,180.1,214.2,205.1,133.6,74.7,19.7,4.526,2.2296,1.03,115.166666666667
283,Georgia,0.19249,0.32461,0.06786,126,4.252,2016,GG,37.4,105.6,100.6,69.6,30.2,8,0.8,1.7621,0.8503,1.0722,41.9333333333333
284,Congo (Brazzaville),0.47799,0.37938,0.12077,127,4.236,2016,CF,133.7,198.4,209.2,187.2,136.4,51.8,10.1,4.634,2.2828,1.03,119.6
285,Senegal,0.77416,0.31056,0.19103,128,4.219,2016,SG,75.5,169.3,211.6,192.4,137.4,70.3,15.5,4.36,2.1478,1.03,110.066666666667
286,Bulgaria,0.92542,0.21219,0.12793,129,4.217,2016,BU,38.4,70.9,86,63,26.5,5.3,0.7,1.4573,0.7067,1.062,34.1333333333333
287,Mauritania,0.84142,0.1268,0.22686,130,4.201,2016,MR,67.8,144.1,179.3,169.8,119.6,73.2,32.2,3.93,1.9359,1.03,101.116666666667
288,Zimbabwe,0.71478,0.25429,0.18503,131,4.193,2016,ZI,109.2,202.9,200.4,146.6,101.5,33.8,6,4.002,1.9714,1.03,100
289,Malawi,0.147,0.4143,0.30968,132,4.156,2016,MI,143.9,263,245.3,197.6,144.6,79.9,34.2,5.5429,2.7508,1.015,143.866666666667
290,Sudan,0.81928,0,0.18077,133,4.139,2016,SU,82.8,199.2,251.3,218.9,153.4,67.8,21.9,4.9762,2.4274,1.05,124
291,Gabon,0.72368,0.28098,0.06244,134,4.121,2016,GB,93.6,149,173.5,154.7,100.7,47.6,6.8,3.63,1.7882,1.03,92.0666666666666
292,Mali,0.86333,0.27544,0.21064,135,4.073,2016,ML,166.5,267.2,265.9,229.6,183,82.6,27.8,6.1125,3.0111,1.03,159.45
293,Haiti,0.29561,0.12072,0.47958,136,4.028,2016,HA,39.2,110.9,142,129.2,84.6,43,9.4,2.792,1.3884,1.011,69.3833333333333
294,Botswana,0.89186,0.44089,0.12425,137,3.974,2016,BC,31.8,119.4,132.3,111.8,77.1,37.1,11,2.602,1.2818,1.03,64.7
295,Comoros,0.60323,0.15412,0.1827,138,3.956,2016,CN,51.2,150.5,190.6,155.7,84.6,35.5,25.9,3.47,1.7094,1.03,83.9
297,Cambodia,0.5375,0.58852,0.40339,140,3.907,2016,CB,28.6,119.4,149.2,119.1,64.7,27.1,3.5,2.558,1.2509,1.045,60.4
298,Angola,0.66366,0.00589,0.12071,141,3.866,2016,AO,162.3,261.3,278.7,246.3,186,89.8,20.9,6.2273,3.0676,1.03,161.1
299,Niger,0.6053,0.38041,0.2097,142,3.856,2016,NG,184.2,279.3,285.2,251.5,182.2,107.9,33.9,6.6207,3.2614,1.03,173.166666666667
300,South Sudan,0.18519,0.19662,0.25899,143,3.832,2016,OD,76.4,235.4,231.7,219.3,142.2,115.5,47.5,5.34,2.6049,1.05,139.383333333333
301,Chad,0.63178,0.12807,0.18667,144,3.763,2016,CD,167.3,275.2,281.8,243,161.8,71.6,23.4,6.12,3,1.04,157.05
302,Burkina Faso,0.63054,0.3337,0.24353,145,3.739,2016,UV,118.2,222.6,238.6,198.9,134.7,74.2,18.8,5.03,2.4778,1.03,127.9
303,Uganda,0.90981,0.43653,0.27102,145,3.739,2016,UG,139.1,264.4,269.5,231.5,162.7,90,2.8,5.8,2.8571,1.03,148.416666666667
304,Yemen,0.47493,0.2287,0.09821,147,3.724,2016,YM,50.4,150.9,198.4,172.8,107.3,50.7,23.1,3.768,1.838,1.05,92.5333333333333
305,Madagascar,0.46115,0.13684,0.2204,148,3.695,2016,MA,95.9,183.8,195.8,167,108.2,60.1,12.4,4.116,2.0276,1.03,104.566666666667
306,Tanzania,0.77623,0.3176,0.31472,149,3.666,2016,TZ,98.8,228.1,227.8,189,141.1,62.4,18.8,4.83,2.3793,1.03,123.033333333333
307,Liberia,0.50353,0.25748,0.24063,150,3.622,2016,LI,141.8,220.5,217.4,194.1,141.9,85,20.9,5.108,2.5163,1.03,134.033333333333
308,Guinea,0.3109,0.30953,0.29914,151,3.607,2016,GV,143.8,204.7,222.3,196.3,137.4,72,31.5,5.04,2.4828,1.03,130.95
309,Rwanda,0.61586,0.5432,0.23552,152,3.515,2016,RW,34.5,159.7,208.1,180.8,131.2,71.3,11.2,3.984,1.9626,1.03,98.1166666666667
310,Benin,0.10419,0.39747,0.2018,153,3.484,2016,BN,90.6,209.1,238,203.2,134.8,72.2,23.7,4.858,2.3698,1.05,122.266666666667
311,Afghanistan,0.11037,0.1643,0.31268,154,3.36,2016,AF,81.4,209,256,214.5,152.2,85.9,45,5.22,2.5463,1.05,131.333333333333
312,Togo,0,0.34678,0.17517,155,3.303,2016,TO,68.2,181.7,216.3,183.1,136.7,71.9,27.8,4.428,2.1813,1.03,111.566666666667
313,Syria,0.14866,0.06912,0.48397,156,3.069,2016,SY,26.4,97.6,153,126.2,70.2,30.5,5.8,2.548,1.2369,1.06,59.45
314,Burundi,0.23442,0.0432,0.2029,157,2.905,2016,BY,60.9,264.9,288.4,256.2,211.1,97.3,28.9,6.038,2.9744,1.03,153.216666666667
315,Norway,1.53352355957031,0.635422587394714,0.36201223731041,1,7.53700017929077,2017,NO,6,51.7,118,124.6,59.5,10.2,0.6,1.8534,0.9019,1.055,42.1
316,Denmark,1.55112159252167,0.626006722450256,0.355280488729477,2,7.52199983596802,2017,DA,3.5,35.6,116.2,128,60.8,11.4,0.6,1.7847,0.8641,1.0653,39.9833333333333
317,Iceland,1.6105740070343,0.627162635326385,0.475540220737457,3,7.50400018692017,2017,IC,10.8,75.4,138.7,112.4,44,13.3,6.3,2,0.9776,1.0457,43.7
318,Switzerland,1.51691174507141,0.620070576667786,0.290549278259277,4,7.49399995803833,2017,SZ,3.1,31.2,81.1,113.7,67.6,13.8,0.8,1.5567,0.756,1.059,38.3666666666667
319,Finland,1.5402467250824,0.617950856685638,0.24548277258873,5,7.4689998626709,2017,FI,7.1,51.1,105.6,113.7,58.6,13.3,0.6,1.7473,0.854,1.046,40.7333333333333
320,Netherlands,1.42893922328949,0.585384488105774,0.470489829778671,6,7.3769998550415,2017,NL,3.9,33.7,103.6,137.7,65.8,10.8,0.4,1.78,0.8679,1.051,42.05
321,Canada,1.48134899139404,0.611100912094116,0.435539722442627,7,7.31599998474121,2017,CA,13.8,53.4,102.1,101.6,41.8,7.1,0.3,1.6002,0.7782,1.0563,36.3333333333333
322,New Zealand,1.54819512367249,0.614062130451202,0.500005125999451,8,7.31400012969971,2017,NZ,27.6,70.1,106.6,123.5,62.9,12.2,0.6,2.0189,0.9858,1.048,49.4833333333333
323,Sweden,1.47816216945648,0.612924098968506,0.385399252176285,9,7.28399991989136,2017,SW,3.4,42.1,103.5,133.4,75.4,16.6,1.2,1.8775,0.9125,1.0575,45.35
324,Australia,1.51004195213318,0.601607382297516,0.477699249982834,10,7.28399991989136,2017,AS,16.5,52.9,96.4,116.6,59.2,11.1,0.5,1.7659,0.8593,1.055,42.8
325,Israel,1.37628996372223,0.405988603830338,0.330082654953003,11,7.21299982070923,2017,IS,14.7,102.6,165.7,146.8,77.2,19.8,1.8,2.644,1.2898,1.05,60.4833333333333
326,Costa Rica,1.41640365123749,0.580131649971008,0.214613229036331,12,7.0789999961853,2017,CS,53.6,100.3,104,73.7,33.7,10,1,1.8913,0.9226,1.05,45.3833333333333
327,Austria,1.4599449634552,0.567766189575195,0.316472321748734,13,7.00600004196167,2017,AU,8.7,45.8,90.2,93.3,48.1,8.8,0.5,1.4722,0.7171,1.053,34.2
328,United States,1.41992056369781,0.505740523338318,0.392578780651093,14,6.99300003051758,2017,US,32.66,83.91,106.16,92.85,47.08,10.5,0.66,1.86942242500909,-9,-9,44.61
329,Ireland,1.55823111534119,0.573110342025757,0.42785832285881,15,6.97700023651123,2017,EI,17.5,51.2,84.9,128.8,92.8,17.3,1,1.9676,0.9565,1.057,51.4333333333333
330,Germany,1.47252035140991,0.562511384487152,0.336269170045853,16,6.95100021362305,2017,GM,8.2,43.6,86.8,95.8,47.4,9.3,0.4,1.4505,0.7059,1.0547,34.1166666666667
331,Belgium,1.46231269836426,0.539770722389221,0.231503337621689,17,6.89099979400635,2017,BE,9,54.2,124,113.3,47,8.8,0.4,1.779,0.8682,1.049,38.7833333333333
332,Luxembourg,1.45758366584778,0.59662789106369,0.283180981874466,18,6.86299991607666,2017,LU,5.3,33.9,88.9,113.5,67,14.8,0.7,1.6164,0.7855,1.0578,39.2
333,United Kingdom,1.49646008014679,0.508190035820007,0.492774158716202,19,6.71400022506714,2017,UK,24.5,70.3,102.3,111,56.6,10.8,0.6,1.8805,0.9165,1.0519,45.6333333333333
334,Chile,1.28402495384216,0.376895278692245,0.326662421226501,20,6.65199995040894,2017,CI,30.1,73.4,107.9,91.3,42.9,12.9,1.4,1.8,0.8813,1.0425,42
335,United Arab Emirates,1.26641023159027,0.60834527015686,0.3609419465065,21,6.64799976348877,2017,AE,19.9,75.3,86.6,72.9,51.7,28,11.2,1.7287,0.8393,1.0597,43.1666666666667
336,Brazil,1.43130600452423,0.437453746795654,0.16234989464283,22,6.63500022888184,2017,BR,22.2,74.6,115.6,89,35.5,11.9,1.9,1.754,0.8556,1.05,39.1833333333333
338,Argentina,1.44045114517212,0.494519203901291,0.109457060694695,24,6.59899997711182,2017,AR,63,106.8,107.7,96.3,58.2,17.6,1.4,2.264,1.0958,1.066,57.2166666666667
339,Mexico,1.210862159729,0.412730008363724,0.120990432798862,25,6.57800006866455,2017,MX,53.1,119.2,121.7,91.5,45.6,14.4,2.2,2.2384,1.0919,1.05,54.3333333333333
340,Singapore,1.35381436347961,0.549840569496155,0.345965981483459,26,6.57200002670288,2017,SN,3.4,11.7,40.3,67.4,37.1,6,0.3,0.8317,0.4012,1.0729,20.9833333333333
341,Malta,1.48841166496277,0.588767051696777,0.574730575084686,27,6.52699995040894,2017,MT,11.3,36.7,87.2,103.8,45.3,8.8,0.3,1.4683,0.7187,1.0431,34.3666666666667
342,Uruguay,1.41222786903381,0.57939225435257,0.175096929073334,28,6.4539999961853,2017,UY,18,70.5,119.8,96.6,39.9,13.3,1.9,1.8,0.8839,1.0365,40.0333333333333
343,Guatemala,1.25558519363403,0.531310617923737,0.283488392829895,29,6.4539999961853,2017,GT,82.2,156.7,144.2,113.6,64.9,25.2,2.9,2.948,1.438,1.05,74.25
344,Panama,1.37319254875183,0.550026834011078,0.21055693924427,30,6.4520001411438,2017,PM,75,127.2,113.6,86.5,43.2,12.7,2.2,2.302,1.1257,1.0449,57.8
