index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
38,Kuwait,1.16594,0.55499,0.16228,39,6.295,2015,KU,14.5,105.3,150.7,121.5,75.3,25.3,4.4,2.4843,1.2138,1.0467,57.7166666666667
39,Suriname,0.972,0.59657,0.16991,40,6.269,2015,NS,31.8,83.1,122.9,97,43,13.6,1.6,1.97,0.961,1.05,45.0166666666667
40,Trinidad and Tobago,1.18354,0.55884,0.31844,41,6.168,2015,TD,10.5,63.8,118.3,96.1,38.2,13,2.1,1.7104,0.8433,1.0281,37.2833333333333
41,El Salvador,1.02507,0.4035,0.10692,42,6.13,2015,ES,31,81.9,118,92.6,41.1,15.4,2,1.91,0.9317,1.05,44
42,Guatemala,1.04356,0.57733,0.27489,43,6.123,2015,GT,91,168.1,147.3,115.7,68.2,26.7,3,3.1,1.5122,1.05,78.7833333333333
43,Uzbekistan,1.34043,0.65821,0.22837,44,6.003,2015,UZ,10.1,79.1,123.1,95.5,37.2,10.7,4.7,1.788,0.868,1.06,39.55
44,Slovakia,1.26999,0.31751,0.16893,45,5.995,2015,LO,20.5,50.5,90.4,79.1,32,5.6,0.9,1.394,0.6743,1.0673,31.4333333333333
45,Japan,1.25712,0.49615,0.10705,46,5.987,2015,JA,6,42,93.9,92.8,38.9,6.7,0.4,1.4037,0.6827,1.056,31.1333333333333
47,Ecuador,0.99903,0.48574,0.11541,48,5.975,2015,EC,41.2,104.4,126.7,101.4,51.7,20.5,4.1,2.25,1.0976,1.05,53.8833333333333
48,Bahrain,1.21624,0.45492,0.17362,49,5.96,2015,BA,13.1,78.3,115.4,87.3,43.4,16.7,2.2,1.7816,0.8788,1.0273,40.1666666666667
49,Italy,1.19777,0.26236,0.22823,50,5.948,2015,IT,7.1,35.4,74.4,95.9,58.5,12.8,0.7,1.426,0.6926,1.059,35.0666666666667
50,Bolivia,0.97841,0.57414,0.20536,51,5.89,2015,BL,45.6,120.8,147.4,119.6,74.6,31.3,6.8,2.73,1.3317,1.05,66.45
51,Moldova,1.01528,0.32818,0.20951,52,5.889,2015,MD,28.1,95.1,98.1,59.9,25,5.3,0.4,1.5595,0.7556,1.064,35.6333333333333
52,Paraguay,1.30477,0.53899,0.3424,53,5.878,2015,PA,18.5,74.8,126.2,100.9,41.6,16.2,3.8,1.91,0.9317,1.05,42.6333333333333
53,Kazakhstan,1.12241,0.51649,0.11827,54,5.855,2015,KZ,24.5,125.7,141.1,104.1,51.4,14.5,0.8,2.31,1.1927,0.9368,53.5
54,Slovenia,1.27385,0.60855,0.25328,55,5.848,2015,SI,4.6,41.8,109.1,105.3,43.4,8.4,0.3,1.5596,0.7583,1.0567,33.9666666666667
55,Lithuania,1.25745,0.21342,0.02641,56,5.833,2015,LH,15.9,61.1,109.5,88.8,36.9,7,0.4,1.5866,0.7713,1.057,35.0166666666667
56,Nicaragua,1.14184,0.55475,0.27815,57,5.828,2015,NU,33,83.6,120.4,93.6,42.1,13.2,2,1.94,0.9463,1.05,44.5833333333333
57,Peru,0.97459,0.41496,0.14982,58,5.824,2015,PE,37.3,97.6,119.7,102.1,55.9,19.7,3.7,2.18,1.0656,1.0458,52.7166666666667
58,Belarus,1.23289,0.37938,0.11046,59,5.813,2015,BO,19.6,84,97.9,63.4,24.2,4.8,0.3,1.4711,0.7141,1.06,32.7166666666667
59,Poland,1.27948,0.53122,0.16759,60,5.791,2015,PL,13.6,53.5,90.5,71.6,30.3,6.5,0.7,1.3273,0.6445,1.0594,29.3666666666667
60,Malaysia,1.07023,0.53024,0.33075,61,5.77,2015,MY,12.9,94.8,165.5,138.7,71.6,23.8,2.8,2.55,1.2322,1.0694,57.4333333333333
61,Croatia,0.79624,0.25883,0.05444,62,5.759,2015,HR,10,46.4,88.9,84.1,38.3,8.2,0.5,1.3784,0.6686,1.0615,31.25
62,Libya,1.11862,0.41668,0.18295,63,5.754,2015,LY,8.6,60.1,121.5,115.2,69.2,30.6,4.8,2.05,1,1.05,48.0833333333333
63,Russia,1.23617,0.36679,0.00199,64,5.716,2015,RS,26.4,84.4,101.4,71,30.4,6.9,0.6,1.6055,0.7794,1.06,36.6166666666667
64,Jamaica,1.15102,0.50442,0.2123,65,5.709,2015,JM,58.5,97.7,118,76.6,55,15.4,2.8,2.12,1.0341,1.05,51
66,Cyprus,0.89318,0.40672,0.30638,67,5.689,2015,CY,8.9,50.5,105.7,85.9,33.8,6.9,0.8,1.4622,0.7133,1.05,31.1333333333333
67,Algeria,1.07772,0.28579,0.07822,68,5.605,2015,AG,16.6,101.4,160.9,143.8,87,39.6,7.4,2.7836,1.3562,1.0524,65.9666666666667
68,Kosovo,0.81198,0.24749,0.2831,69,5.589,2015,KV,10.5,84,144.3,117.2,47.6,13.1,1.7,2.0921,1.0045,1.0827,45.6833333333333
69,Turkmenistan,1.22668,0.4761,0.16979,70,5.548,2015,TX,15.6,100.8,143.2,101,41.5,13.9,2,2.09,1.0195,1.05,45.8
70,Mauritius,0.98521,0.56066,0.37744,71,5.477,2015,MP,15.2,74.1,119.2,92.5,37.2,12.1,1.7,1.76,0.8585,1.05,38.8
71,Hong Kong,1.05818,0.59608,0.39478,72,5.474,2015,HK,3.1,26,62.3,84.8,50.7,8.5,0.4,1.1789,0.5573,1.1155,28.9166666666667
72,Estonia,1.22791,0.44888,0.0868,73,5.429,2015,EN,15.1,58.8,99,88.7,46.6,11.4,0.9,1.5927,0.7777,1.0479,36.9166666666667
73,Indonesia,1.08708,0.46611,0.51535,74,5.399,2015,ID,31.5,96,130.8,101,49.6,17.5,3.7,2.15,1.0488,1.05,49.8833333333333
74,Vietnam,0.91226,0.59444,0.1686,75,5.36,2015,VM,19.1,82.3,127.8,89.7,34.1,11.2,1.6,1.83,0.8673,1.11,39.6666666666667
75,Turkey,0.94632,0.22815,0.12253,76,5.332,2015,TU,26.5,101.9,128.3,96.4,44,11.3,1.6,2.05,1,1.05,46.95
76,Kyrgyzstan,1.15115,0.43477,0.3003,77,5.286,2015,KG,26.8,156.7,153.4,113.1,60.3,18.9,2.8,2.66,1.2869,1.067,63.1
77,Nigeria,0.90432,0.34334,0.27233,78,5.268,2015,NI,107.8,211.8,253.6,211.5,141.6,64,19.8,5.05,2.4515,1.06,126.083333333333
78,Bhutan,1.10395,0.53206,0.47998,79,5.253,2015,BT,17.3,85.1,128.1,97.4,43.6,18.3,4.2,1.97,0.961,1.0499,44.3166666666667
79,Azerbaijan,0.93793,0.3703,0.07799,80,5.212,2015,AJ,37.2,135,116,61.7,24,6.4,0.9,1.9057,0.9023,1.1121,44.2
80,Pakistan,0.41411,0.12102,0.33671,81,5.194,2015,PK,32.6,117.2,166,131.6,66.5,27.9,8.2,2.75,1.3415,1.05,64
81,Jordan,1.05392,0.40661,0.11053,82,5.192,2015,JO,23.8,125,190.7,163.2,97.9,30.8,3.1,3.1727,1.5401,1.06,73.9666666666667
82,Montenegro,0.90557,0.1826,0.1614,82,5.192,2015,MJ,11,67,118.9,99.3,46.1,9.9,1.3,1.7671,0.8417,1.0995,39.1
83,China,0.94675,0.51697,0.08185,84,5.14,2015,CH,9,60.3,110.5,90,34.9,10.5,5.1,1.6,0.7456,1.146,34.9666666666667
84,Zambia,0.91612,0.48827,0.19591,85,5.129,2015,ZA,117,264.2,261.2,223.6,170.8,83.5,23.6,5.72,2.8177,1.03,147.116666666667
85,Romania,0.88588,0.35068,0.13748,86,5.124,2015,RO,28.4,67.3,84.1,57,22.1,5,1.2,1.3279,0.6446,1.06,30.1666666666667
86,Serbia,1.00964,0.20107,0.19231,87,5.123,2015,RI,23.4,77.8,92,64.1,24.2,3.9,0.3,1.4298,0.6924,1.065,32.2833333333333
87,Portugal,1.13935,0.51469,0.13719,88,5.102,2015,PO,16.6,44,83.1,80.9,31.9,3.5,0.1,1.3123,0.6418,1.0447,29.5
88,Latvia,1.09562,0.29671,0.18226,89,5.098,2015,LG,14.3,54.1,91.9,85.2,44.9,10.8,0.6,1.5029,0.7331,1.0501,34.9833333333333
89,Philippines,1.03516,0.62545,0.24991,90,5.073,2015,RP,50.5,146.9,159.8,130.6,81.9,41.3,7.1,3.09,1.5073,1.05,76.3833333333333
91,Morocco,0.64095,0.41691,0.07172,92,5.013,2015,MO,21.5,83.7,126.9,110,57.7,22.8,3.3,2.13,1.039,1.05,49.8333333333333
92,Macedonia,1.00232,0.33457,0.22359,93,5.007,2015,MK,14.8,65.1,100.8,78.5,29.2,5.3,0.8,1.4713,0.7088,1.0758,32.2833333333333
93,Mozambique,1.02626,0.34037,0.22269,94,4.971,2015,MZ,108.1,210.3,221.5,198.8,155.9,91.8,55.6,5.21,2.583,1.017,136.75
94,Albania,0.80434,0.35733,0.14272,95,4.959,2015,AL,10.9,74.6,105,71.5,30.1,7.1,1,1.5008,0.7147,1.1,32.5333333333333
95,Bosnia and Herzegovina,0.91916,0.09245,0.24808,96,4.949,2015,BK,14.5,64.8,89.2,60.5,21,4.6,0.9,1.2723,0.614,1.072,27.7166666666667
96,Lesotho,1.04103,0.31767,0.16388,97,4.898,2015,LT,28.5,115.1,148.7,123.9,75.8,39.5,12.5,2.7201,1.34,1.03,65.8833333333333
97,Dominican Republic,1.17202,0.57672,0.21684,98,4.885,2015,DR,75,134.5,121.3,83,39.6,11.4,1.2,2.33,1.1422,1.04,57.45
98,Laos,0.73803,0.59591,0.42192,99,4.876,2015,LA,49.2,124.7,166,133,66.3,23.6,1.2,2.82,1.3823,1.04,66.3333333333333
99,Mongolia,1.3006,0.43626,0.3323,100,4.874,2015,MG,16.8,115.4,131.7,94.6,57.1,17,2.4,2.175,1.061,1.05,50.55
101,Greece,0.92933,0.07699,0,102,4.857,2015,GR,10.4,55.3,97.9,79.4,30.7,6.9,2.1,1.4151,0.6856,1.064,30.8
102,Lebanon,0.80001,0.33916,0.21854,103,4.839,2015,LE,10.9,65.2,118.8,96.3,39.1,13.5,2.2,1.73,0.8439,1.05,37.8666666666667
103,Hungary,1.20215,0.32112,0.128,104,4.8,2015,HU,18.1,53.1,92.9,81.6,32.6,6.6,0.2,1.4276,0.694,1.057,32.0333333333333
104,Honduras,0.95348,0.40148,0.23027,105,4.788,2015,HO,51.9,122.8,148.5,120.2,72.6,34.6,5.3,2.78,1.3561,1.05,67.9
105,Tajikistan,0.85563,0.47216,0.22974,106,4.786,2015,TI,32.1,158.4,159.7,120,53.4,16,2.5,2.71,1.322,1.05,63.7333333333333
106,Tunisia,0.60429,0.26268,0.06431,107,4.739,2015,TS,8.4,62.2,144,133,92.4,26.3,2.2,2.3433,1.1353,1.064,54.0833333333333
108,Bangladesh,0.43106,0.4082,0.21222,109,4.694,2015,BG,51.9,100.9,129.6,97.8,43.3,16.2,2.4,2.21,1.0833,1.04,52.0833333333333
109,Iran,0.54447,0.30033,0.38086,110,4.686,2015,IR,34.9,94.7,109.4,91.1,51.6,13.5,1.2,1.9818,0.9667,1.05,47.8333333333333
110,Ukraine,1.20278,0.25123,0.15275,111,4.681,2015,UP,29.9,95.6,92,59.1,25.6,4.5,0.2,1.5349,0.7437,1.064,35.8166666666667
111,Iraq,0.81889,0,0.17922,112,4.677,2015,IZ,70.9,194,218.6,176.2,115.8,42.3,6.3,4.12,2.0098,1.05,100.916666666667
112,South Africa,1.18468,0.33207,0.11973,113,4.642,2015,SF,43.2,105.3,121,102,62.1,25.8,6.5,2.33,1.1535,1.02,57.4833333333333
113,Ghana,0.67954,0.42342,0.23087,114,4.633,2015,GH,67.7,163.2,199.9,177.3,118.1,71.9,13.5,4.0584,1.9992,1.03,101.95
